Skin Type,Usage Periode,Review,Rating
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Sociolla,"Serum Retinol dengan kandungan tertinggi yang pernah aku pake, suprisingly gaada efek tingling atau cekat cekit pas ku pake, ini teksturnya light cenderung ke watery, pas apply lgsg cepet menyerap dan kerasa kaya ga pake apa-apa, tapi selama pake serum ini aku ga ngerasain efek apa-apa sih, bangun pagi kerasa lebih lifting aja di wajah, dari segi harga dan kandungan serum ini worth the price dan worth to try:)",5
"Oily, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Sempat deg2an karena retinolnya 4%. Tapi ternyata cukup mild. Ga bikin purging biarpun di kulit sensitif kayak aku, tapi ya efeknya ga terlalu keliatan juga jadinya. Ga bikin kering, cepat meresap. Cocok buat pemula ini sih. Buat yg udah terbiasa dengan retinol mungkin ga bakal terlalu puas dengan ini.",4
"Dry, Medium, Neutral",Usage Period : More than 1 yearPurchase Point : FD Try and Review,"satu satunya retinol serum lokal produk yg udah 2x aku repurchase. meskipun retinol tapi di kulitku yg sensitif acne prone plus dry ini dia ngga ngebuat drama di kulitku sejak pertama kali pemakaian. karena riwayat kulitku yg sensitif aku jadi agak worry awalnya mau nyoba, jadi aku pakai awalnya seminggu 2x buat perkenalan di kulit. karena tidak ada masalah aku coba jadi per 2 hari sekali pemakaian. meskipun beberapa org bilang dipakai setiap hari ngga papa tapi aku tetap pakainya per 2 hari sekali. biar kulit wajahku yg sudah sangat tidak rewel ini ngga jadi sensitif kembali. efek yg aku rasakan tentu saja kulit wajah terasa lembut banget halus dan memperbaiki teksturnya. sangat bisa banget buat dicoba serum ini â­ï¸",5
"Normal, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Watson,"Lagi coba serum retinol dari Votre Peau. Dari beberapa merk lainnya, tingkat retinol tertinggi emang yang merk ini. Tapi untungnya pas dipakai masih terasa ok kok. Gak terasa perih, gak bikin muka kering, dan pas bangun tidur muka masih oke oke aja gak ada masalah",5
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Brand website,"Untuk hitungan skincare yang ada retinolnya maka aku bilang ini termasuk mild bagi aku ya. Karena selama pemakaian tidak ada bad effects, tidak ada purging, tidak ada dryness dll. Aku juga bisa memakainya seling tiap 1 hari sekali. Aku cocok saja memakai produk ini namun karena merasa tidak wow jadi cukup 1 botol saja. Oiyaaa kalau sudah lama produknya tidak akan encer lagi namun akan mengental ya :)",4
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Jujur aku takut banget buat coba pake retinol karena khawatir efek kalo gak cocok. Retinol ini sangat gentle di muka aku yang sensitif dan gak ada tingling effect, panas, atau jadi kering. Kemasannya simple, elegan, dan aplikator dalam bentuk pump jadi bisa diatur mau pakai produk seberapa banyak. Teksturnya agak watery, gak ada wangi menyengat, dan mudah meresap. Klaim salah satu retinol ini bisa menyamarkan kerutan halus dan memperbaiki skin barrier. So far sangat nyaman dan aman pake retinol ini di muka aku. Bisa bikin jerawat yang udah ada jadi kering dan cepet keluar, love it!",5
"Dry, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Sociolla,"Pertama kali pake retinol ini dan gak cocok. Sedih padahal sebelum beli ini lihat review orang-orang banyak yang cocok. Entah aku salah pakainya atau gimana, aku udah ikutin caranya cycling skin tetep aja gak ada efeknya dan malah bikin kering mukaku dan malah komedo makin banyak.",3
"Combination, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"beli retinol tuh kayak nyari jodoh, ya. gak cocok bisa breakout parah, kalo cocok wah muka benerÂ² gemes banget liatnya. nyoba ini sebenarnya ga ada ekspektasi apaÂ², cuma lihat ukuran ml nya lumayan banyak 30ml. eh ternyata cocok banget sama aku! efeknya fine lines sedikitÂ² memudar, gal habis pikir! meskipun retinolnya kandungannya mayan yaa 4% tapi kurasa mild dan bisa lah dipakai pemula yg baru coba retinol",4
"Dry, Medium Light, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Iseng beli retinol ini karena lagi diskon di official store nya. Star inggredient nya 4% retinol cyclosystem complex yang klaim nya bisa untuk memperbaiki skin barrier, menyamarkan kerutan halus, mengurangi komedo dll. Sayang nya it does'nt work on me. Aku memang sudah cukup lama pakai retinol, tapi ketika pakai serum ini yang bahkan mengandung 4% retinol tuh seperti tidak berpengaruh apa-apa ke kulitku. Padahal aku pakainya rutin seminggu 2-3 kali dan sudah hampir habis 1 botol. Mungkin serum ini lebih cocok dipakai buat yang kulitnya sensitif. Tekstur serum nya watery, gampang meresap. Tidak ada efek cekit-cekit atau kemerahan. Harga lumayan mahal sekitar 160ribuan. Repurchase?? no..",4
"Combination, Medium Light, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Sociolla,"Retinol serum yang gak kalah bagus dari merk lain, I think it's one of the best on the market. Formulanya efektif, bisa menghilangkan bintik-bintik di wajah, menyamarkan bekas jerawat, dan meremajakan kulit. Packagingnya juka oke, simpel dan enak dibawa traveling.",5
"Combination, Medium, Warm",Usage Period : More than 1 yearPurchase Point : Lazada,"Retinol yang menurutku pas buat pemula yang bener2 baru mau pakai retinol serum. Ini mild banget, hydrating, ga lengket, ga ada efek negatif kalo di aku. Harganya juga murah, seratus ribuan. Hampir perfect kecuali kemasan botol pipetnya. Ini teksturnya gel agak kental, sering banget ga keambil sama pipetnya, heran deh. Kalau menurutku bakalan lebih bagus kalau kemasannya botol pump, tapi mungkin harganya bakal naik. Ga beli lagi selain gara2 botolnya, aku mau naik level kadar retinolnya.",4
