Skin Type,Usage Periode,Review,Rating,Label,cleaned_review
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Sociolla,serum retinol kandung tinggi pakai suprisingly efek tingling cekat cekit pas ku pakai tekstur light cenderung watery pas apply langsung cepat serap rasa kayak pakai apaapa pakai serum rasai efek apaapa sih bangun pagi rasa lifting wajah segi harga kandung serum worth price worth try,5,Positive,serum retinol kandung suprisingly efek tingling cekat cekit pas tekstur light cenderung watery pas apply langsung cepat serap apaapa serum rasai efek apaapa sih bangun pagi lifting wajah segi harga kandung serum worth price worth try
"Oily, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,degan retinolnya mild bikin purging biarpun kulit sensitif kayak ya efek bikin kering cepat resap cocok mula sih biasa retinol puas,4,Positive,degan retinolnya mild purging biarpun kulit sensitif efek kering cepat resap cocok sih retinol puas
"Dry, Medium, Neutral",Usage Period : More than 1 yearPurchase Point : FD Try and Review,satu retinol serum lokal produk kali repurchase retinol kulit sensitif acne prone plus dry ngebuat drama kulit kali pakai riwayat kulit sensitif worry coba pakai minggu kali kenal kulit coba pakai orang bilang pakai papa pakai biar kulit wajah rewel sensitif efek rasa kulit wajah lembut banget halus baik tekstur banget coba serum ,5,Positive,retinol serum lokal repurchase retinol kulit sensitif acne prone plus dry ngebuat drama kulit riwayat kulit sensitif worry coba minggu kenal kulit coba orang bilang papa biar kulit wajah rewel sensitif efek kulit wajah lembut halus tekstur coba serum
"Normal, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Watson,coba serum retinol votre peau merk tingkat retinol tinggi merk untung pas pakai ok perih bikin muka kering pas bangun tidur muka oke oke,5,Positive,coba serum retinol votre peau merk tingkat retinol merk untung pas ok perih muka kering pas bangun tidur muka oke oke
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Brand website,hitung skincare retinolnya bilang mild ya pakai bad effects purging dryness dll maka seling cocok pakai produk wow botol oiyaaa produk encer kental ya,4,Positive,hitung retinolnya bilang mild bad effects purging dryness dll seling cocok wow botol oiyaaa encer kental
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,jujur takut banget coba pakai retinol khawatir efek kalo cocok retinol gentle muka sensitif tingling effect panas kering kemas simple elegan aplikator bentuk pump atur pakai produk tekstur watery wangi sengat mudah resap klaim salah retinol samar kerut halus baik skin barrier sok far nyaman aman pakai retinol muka bikin jerawat kering cepat love,5,Positive,jujur takut coba retinol khawatir efek kalo cocok retinol gentle muka sensitif tingling effect panas kering kemas simple elegan aplikator bentuk pump atur tekstur watery wangi sengat mudah resap klaim salah retinol samar kerut halus skin barrier sok far nyaman aman retinol muka jerawat kering cepat love
"Dry, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Sociolla,kali pakai retinol cocok sedih beli lihat review orangorang cocok salah pakai ikut cycling skin efek bikin kering muka komedo,3,Neutral,retinol cocok sedih beli review orangorang cocok salah cycling skin efek kering muka komedo
"Combination, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,beli retinol tuh kayak cari jodoh ya cocok breakout parah kalo cocok muka bener gemas banget lihat coba ekspektasi apa lihat ukur ml nya lumayan ml eh cocok banget efek fine les sedikit pudar gal habis pikir retinolnya kandung lumayan ya rasa mild pakai mula coba retinol,4,Positive,beli retinol tuh cari jodoh cocok breakout parah kalo cocok muka bener gemas coba ekspektasi ukur ml nya lumayan ml eh cocok efek fine les pudar gal habis pikir retinolnya kandung lumayan mild coba retinol
"Dry, Medium Light, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,iseng beli retinol diskon official store nya star ingredient nya retinol cyclosystem complex klaim nya baik skin barrier samar kerut halus kurang komedo dll sayang nya doesnt work pakai retinol pakai serum kandung retinol tuh pengaruh apaapa kulit pakai rutin minggu kali habis botol serum cocok pakai kulit sensitif tekstur serum nya watery gampang resap efek cekitcekit merah harga lumayan mahal ribu repurchase,4,Positive,iseng beli retinol diskon official store nya star ingredient nya retinol cyclosystem complex klaim nya skin barrier samar kerut halus komedo dll sayang nya doesnt work retinol serum kandung retinol tuh pengaruh apaapa kulit rutin minggu habis botol serum cocok kulit sensitif tekstur serum nya watery gampang resap efek cekitcekit merah harga lumayan mahal ribu repurchase
"Combination, Medium Light, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Sociolla,retinol serum kalah bagus merk think one best market formula efektif hilang bintikbintik wajah samar bekas jerawat remaja kulit packagingnya juka oke simpel enak bawa traveling,5,Positive,retinol serum kalah bagus merk think one best market formula efektif hilang bintikbintik wajah samar bekas jerawat remaja kulit packagingnya juka oke simpel enak bawa traveling
